composition,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,V,Co,Nb+Ta,Fe
AEQ,0.09,0.4,1.57,0.026,0.001,11.32,18.2,,,,,,,,,0.88,67.513
ACA,0.07,0.62,1.49,0.023,0.006,11.23,17.8,0.11,0.09,0.39,0.013,0.0001,0.0116,,,0.01,68.1363
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055
AAC,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,,,0.02,64.0967
AAD,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,,,0.01,64.8421
AAE,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,,,0.01,64.916
AAF,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,,,0.01,64.631
AAL,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,,,0.01,64.7519
AAM,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,,,0.01,65.1754
AAN,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,,,0.01,64.9549
AEA,0.07,0.6,1.71,0.02,0.005,12,17.85,0.04,0.05,0.019,0.019,0.0012,0.0284,0.031,0.29,0.74,66.5264
AEB,0.06,0.49,1.66,0.023,0.006,12.2,17.8,0.05,0.03,0.018,0.023,0.0012,0.0236,0.038,0.27,0.82,66.4872
AEC,0.07,0.62,1.73,0.024,0.007,12.2,17.95,0.1,0.04,0.019,0.012,0.0016,0.0216,0.032,0.29,0.72,66.1628
AED,0.04,0.82,1.73,0.022,0.009,12.5,17.61,0.06,0.1,0.019,0.013,0.0004,0.02,0.032,0.33,0.79,65.9046
AEE,0.05,0.8,1.7,0.019,0.011,12.21,17.26,0.07,0.09,0.018,0.012,0.0003,0.021,0.032,0.33,0.77,66.6067
AEF,0.05,0.77,1.74,0.025,0.007,12.55,17.89,0.11,0.09,0.02,0.004,0.0004,0.016,0.033,0.37,0.77,65.5546
AEG,0.053,0.63,1.81,0.027,0.011,12.24,17.56,0.15,0.14,0.019,0.008,0.0027,0.0222,0.041,0.3,0.87,66.1161
AEH,0.065,0.49,1.76,0.019,0.027,12.13,18.05,0.06,0.08,0.036,0.007,0.0018,0.0241,0.036,0.22,0.88,66.1141
AEJ,0.06,0.54,1.82,0.028,0.012,12.38,17.7,0.19,0.11,0.019,0.007,0.002,0.0223,0.042,0.28,0.87,65.9177
ABA,0.062,0.62,1.56,0.025,0.013,10.69,18.7,0.47,0.17,0.04,0.047,0.0007,0.031,,,0.01,67.5613
ABB,0.054,0.41,1.52,0.031,0.02,10.15,18.34,0.36,0.19,0.064,0.01,0.001,0.029,,,0.01,68.811
ABC,0.056,0.4,1.52,0.03,0.016,10.1,18.5,0.36,0.16,0.054,0.012,0.0011,0.03,,,0.01,68.7509
ABD,0.07,0.52,1.49,0.023,0.006,9.68,18.7,0.06,0.06,0.006,0.01,0.0013,0.027,,,0.01,69.3367
ABE,0.07,0.55,1.46,0.023,0.006,9.57,18.95,0.04,0.07,0.062,0.014,0.0018,0.0278,,,0.01,69.1454
ABF,0.08,0.62,1.34,0.021,0.006,9.8,18.25,0.06,0.05,0.02,0.013,0.0017,0.0348,,,0.01,69.6935
ABL,0.07,0.58,1.47,0.022,0.013,9.8,18.16,0.05,0.14,0.031,0.015,0.0003,0.031,,,0.04,69.5777
ABM,0.09,0.61,1.56,0.022,0.014,10.27,18.24,0.32,0.16,0.036,0.014,0.0001,0.038,,,0.03,68.5959
ABN,0.07,0.6,1.58,0.022,0.012,10.26,18.18,0.31,0.12,0.04,0.014,0.0008,0.028,,,0.04,68.7232
ABQ,0.08,0.24,0.78,0.03,0.001,8.79,18.68,,2.92,,,,0.102,,,0.48,67.897
ABR,0.08,0.22,0.77,0.035,0.001,8.82,18.43,,3.05,,,,0.12,,,0.47,68.004
fCA,0.071,0.71,1.28,0.019,0.005,32.43,20.75,0.03,0.1,0.32,0.39,,0.0206,,0.32,,43.5544
fCB,0.06,0.43,1.12,0.011,0.008,32.34,21,0.002,0.09,0.49,0.25,,0.022,,0.54,,43.637
fCC,0.05,0.52,1.14,0.009,0.014,32.48,21.06,0.005,0.02,0.42,0.39,,0.0162,,0.32,,43.5558
fCD,0.05,0.56,1.2,0.018,0.005,32.48,20.65,0.03,0.09,0.32,0.33,,0.0231,,0.24,,44.0039
fCE,0.05,0.5,1.34,0.014,0.007,31.76,21.05,0.012,0.06,0.45,0.52,,0.0114,,0.028,,44.1976
fCF,0.055,0.56,1.19,0.015,0.005,32.08,20.65,0.03,0.06,0.29,0.25,,0.024,,0.37,,44.421
TdA,0.32,1.2,0.98,0.016,0.026,13.44,25.6,0.15,0.09,0.007,0.008,,0.152,,0.25,0.009,57.752
TdB,0.34,1.21,0.79,0.015,0.011,12.06,25.46,0.02,0.03,0.02,0.005,,0.098,,0.22,0.002,59.719
TdC,0.41,1.21,1.37,0.016,0.016,12.15,24.85,0.02,0.01,0,0.04,,0.038,,0.32,0,59.55
TdD,0.34,1.08,1.28,0.017,0.014,13.04,25.72,0.11,0.16,0.03,0.01341,,0.113,,0.23,0,57.85259
TdE,0.34,1.34,1.18,0.02,0.013,11.87,24.49,0.027,0.049,0.017,0.038,,0.119,,0.31,0.002,60.185
TAA,0.43,1.03,1.09,0.012,0.018,20.33,24.98,0.32,0.011,0.06,0.079,0.0006,0.053,,0.047,,51.5394
TAB,0.44,0.87,1.07,0.012,0.019,20.83,24.8,0.36,0.015,0.044,0.035,0.0008,0.049,,0.052,,51.4032
TAC,0.41,0.79,0.82,0.013,0.008,21.2,25.45,0.01,0.069,0.01,0.002,0.0003,0.09,,0.052,,51.0757
TAD,0.43,0.92,0.92,0.016,0.005,20.9,25.1,0.01,0.058,0.01,0.002,0.0003,0.07,,0.046,,51.5127
TAE,0.35,1.1,1.38,0.015,0.008,20.74,25.18,0.03,0.015,0.01,0.002,0.0006,0.037,,0.031,,51.1014
TAF,0.37,1.24,1.41,0.014,0.011,20.66,25.12,0.02,0.015,0.01,0.002,0.0007,0.034,,0.043,,51.0503
TAG,0.36,0.92,1.02,0.016,0.013,21.42,25.21,0.03,0.053,0.01,0.002,0.0002,0.107,,0.007,,50.8318
TAH,0.37,1.16,1.23,0.015,0.014,22.13,25.29,0.01,0.042,0.01,0.002,0.0002,0.054,,0.002,,49.6708
TAJ,0.38,0.82,0.75,0.014,0.024,21.82,24.8,0.08,0.022,0.01,0.002,0.0014,0.0713,,0.013,,51.1923
TAL,0.4,0.87,0.84,0.014,0.017,21.8,24,0.08,0.056,0.01,0.002,0.0011,0.0429,,0.017,,51.85
TAM,0.4,1.27,1.56,0.016,0.008,20.69,25.96,0.07,0.079,0.01,0.002,0.0004,0.048,,0.017,,49.8696
TAN,0.35,1.19,1.64,0.02,0.007,20.91,25.57,0.13,0.073,0.01,0.002,0.0015,0.043,,0.01,,50.0435
TAR,0.41,1.05,0.48,0.015,0.021,22.09,24.49,0.01,0.056,0.01,0.002,0.0007,0.063,,0.022,,51.2803
TAS,0.41,0.99,0.53,0.015,0.025,22.32,25.42,0.01,0.05,0.01,0.002,0.0001,0.063,,0.027,,50.1279
TEA,0.06,0.41,1.25,0.018,0.001,19.84,24.6,,,,,,0.272,,,0.46,53.089
TBA,0.48,0.83,1.01,0.009,0.005,34.47,25.64,0.06,0.03,0,0,,0.079,,0.45,0,36.937
TBB,0.48,0.97,0.81,0.014,0.009,35.63,27.49,0.02,0.01,0.01,0.001,,0.062,,0.17,0.01,34.314
TBC,0.42,0.82,1.02,0.01,0.018,34.4,24.75,0.02,0.04,0,0.004,,0.0503,,0.27,0,38.1777
TBD,0.52,1.61,1.3,0.028,0.012,34.9,24.9,0.06,0.07,0,0.07,,0.042,,0.17,0.07,36.248
TBE,0.43,1.62,1.44,0.012,0.008,35.2,26.28,0,0.01,0,0.04,,0.05,,0.42,0,34.49
TBF,0.47,0.9,0.97,0.008,0.009,35.02,26.11,0.03,0.02,0.02,0.004,,0.064,,0.18,0.02,36.175
